Table S1 Original predicted PPIs ,,,,,,,
interactor A,annotation,interactor B,annotation,taxid,Organism,method,ref
Unigene17244,large subunit ribosomal protein L1,Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene13253,large subunit ribosomal protein L13,Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene5989,large subunit ribosomal protein L15,Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene18155,small subunit ribosomal protein S7,Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene8297,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],Unigene11937,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene7599,ATP-dependent Clp protease ATP-binding subunit ClpB,Unigene11937,1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene17759,1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],Unigene17759,1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene16467,S-adenosylmethionine synthetase [EC:2.5.1.6],Unigene17759,1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene17244,large subunit ribosomal protein L1,Unigene4771,2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene9709,large subunit ribosomal protein L24,Unigene4771,2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene5742,large subunit ribosomal protein L4,Unigene4771,2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene13494,small subunit ribosomal protein S13,Unigene4771,2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1673,succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5],Unigene399,2-isopropylmalate synthase [EC:2.3.3.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene12027,"ATP-binding cassette, sub-family F, member 2",Unigene11292,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],Unigene8297,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene11292,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],Unigene8297,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene1605,tyrosyl-tRNA synthetase [EC:6.1.1.1],Unigene8297,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene8980,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38],Unigene8980,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene5070,molecular chaperone DnaJ,Unigene8980,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene752,--,Unigene488,3-isopropylmalate dehydratase [EC:4.2.1.33],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene488,3-isopropylmalate dehydratase [EC:4.2.1.33],Unigene6055,3-isopropylmalate dehydratase [EC:4.2.1.33],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene8852,"pyruvate,orthophosphate dikinase [EC:2.7.9.1]",Unigene488,3-isopropylmalate dehydratase [EC:4.2.1.33],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene8852,"pyruvate,orthophosphate dikinase [EC:2.7.9.1]",Unigene6055,3-isopropylmalate dehydratase [EC:4.2.1.33],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene16380,3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4],Unigene16380,3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene17244,large subunit ribosomal protein L1,Unigene6829,3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene13296,large subunit ribosomal protein L11e,Unigene6829,3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene1853,large subunit ribosomal protein L2,Unigene6829,3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene15596,signal recognition particle subunit SRP54,Unigene6829,3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene13559,small subunit ribosomal protein S15e,Unigene6829,3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene15155,small subunit ribosomal protein S3e,Unigene6829,3R-hydroxymyristoyl ACP dehydrase [EC:4.2.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene3377,transaldolase [EC:2.2.1.2],Unigene339,6-phosphofructokinase [EC:2.7.1.11],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene7478,--,Unigene11238,6-phosphogluconate dehydrogenase [EC:1.1.1.44],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene16318,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],Unigene16318,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene9790,ATP-dependent RNA helicase [EC:3.6.4.13],Unigene16318,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene5989,large subunit ribosomal protein L15,Unigene16318,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene12494,pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],Unigene16318,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene12906,ribosomal large subunit pseudouridine synthase B [EC:5.4.99.12],Unigene16318,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene29489,small subunit ribosomal protein S7,Unigene16318,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene752,--,Unigene4664,aconitate hydratase 1 [EC:4.2.1.3],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene5708,citrate synthase [EC:2.3.3.1],Unigene4664,aconitate hydratase 1 [EC:4.2.1.3],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene15121,cytochrome c oxidase subunit I [EC:1.9.3.1],Unigene13343,adenylate kinase [EC:2.7.4.3],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene7741,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) [EC:2.4.1.15]",Unigene8318,adenylosuccinate synthase [EC:6.3.4.4],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene17244,large subunit ribosomal protein L1,Unigene8318,adenylosuccinate synthase [EC:6.3.4.4],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4727,outer membrane lipoprotein Blc,Unigene8318,adenylosuccinate synthase [EC:6.3.4.4],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4368,phosphoribosylformylglycinamidine synthase [EC:6.3.5.3],Unigene8318,adenylosuccinate synthase [EC:6.3.4.4],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4299,alanyl-tRNA synthetase [EC:6.1.1.7],Unigene4299,alanyl-tRNA synthetase [EC:6.1.1.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:7005211
Unigene901,glutamyl-tRNA synthetase [EC:6.1.1.17],Unigene4299,alanyl-tRNA synthetase [EC:6.1.1.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene12906,ribosomal large subunit pseudouridine synthase B [EC:5.4.99.12],Unigene4299,alanyl-tRNA synthetase [EC:6.1.1.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene8004,enolase [EC:4.2.1.11],Unigene7741,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) [EC:2.4.1.15]",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1853,large subunit ribosomal protein L2,Unigene7741,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) [EC:2.4.1.15]",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1711,threonine synthase [EC:4.2.3.1],Unigene7741,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) [EC:2.4.1.15]",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene9376,argininosuccinate lyase [EC:4.3.2.1],Unigene9376,argininosuccinate lyase [EC:4.3.2.1],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0018""(two hybrid)",pubmed:14973045
Unigene12174,NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3],Unigene16895,aspartate aminotransferase [EC:2.6.1.1],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1614, [EC:3.5.1.88],Unigene26701,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene26701,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],Unigene26701,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene2067,large subunit ribosomal protein L7/L12,Unigene26701,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene15126,aspartyl-tRNA synthetase [EC:6.1.1.12],Unigene15126,aspartyl-tRNA synthetase [EC:6.1.1.12],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene1853,large subunit ribosomal protein L2,Unigene9527,"ATP-binding cassette, sub-family F, member 2",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene8739,4-alpha-glucanotransferase [EC:2.4.1.25],Unigene8763,ATP-binding protein involved in chromosome partitioning,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene7478,--,Unigene7599,ATP-dependent Clp protease ATP-binding subunit ClpB,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4214,"lysyl-tRNA synthetase, class II [EC:6.1.1.6]",Unigene7599,ATP-dependent Clp protease ATP-binding subunit ClpB,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene7599,ATP-dependent Clp protease ATP-binding subunit ClpB,Unigene32165,ATP-dependent Clp protease ATP-binding subunit ClpX,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene8859,peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15],Unigene32165,ATP-dependent Clp protease ATP-binding subunit ClpX,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene16467,S-adenosylmethionine synthetase [EC:2.5.1.6],Unigene32165,ATP-dependent Clp protease ATP-binding subunit ClpX,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4261, [EC:3.4.21.-],Unigene1332,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene32165,ATP-dependent Clp protease ATP-binding subunit ClpX,Unigene1332,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0415""(enzymatic study)",pubmed:19368884
Unigene1332,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",Unigene1332,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:20637416
Unigene13251,chaperonin GroES,Unigene1332,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4658,--,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene17027,--,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene13296,large subunit ribosomal protein L11e,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene5989,large subunit ribosomal protein L15,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene12010,large subunit ribosomal protein L17,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene2076,large subunit ribosomal protein L18,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1853,large subunit ribosomal protein L2,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene9709,large subunit ribosomal protein L24,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene882,large subunit ribosomal protein L27,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene17158,large subunit ribosomal protein L9,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene5070,molecular chaperone DnaJ,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene16620,NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:1.6.5.3 1.6.99.3],Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4122,polyribonucleotide nucleotidyltransferase [EC:2.7.7.8],Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene12906,ribosomal large subunit pseudouridine synthase B [EC:5.4.99.12],Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene6521,small subunit ribosomal protein S14,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene9504,small subunit ribosomal protein S14e,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene13559,small subunit ribosomal protein S15e,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene862,small subunit ribosomal protein S16e,Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
